"ParasiteReportedName","ParasiteCorrectedName","HasBinomialName","NameObservations","FLAG","NameID","NameCitation","ParType","ParPhylum","ParClass","ParOrder","ParFamily","StrainorSubsps"
"Abbreviata","Abbreviata sp.","no","valid in papers","","Jones 1988","Jones, H. I. (1988). Nematodes from 9 species of Varanus (Reptilia) from tropical northern Australia, with particular reference to the genus Abbreviata (Physalopteridae).†Australian Journal of Zoology,†36(6), 691-708.","Helminth","Nematoda","Secernentea","Spirurida","Physalopteridae",""
"GBV-C/HGV","ABOLISHED","no","name abolished in 2004","","","","Virus","RNA virus","ss+","Nidovirales","Flaviviridae",""
"Bussuquara virus","ABOLISHED","no","Flavivirus Bussuquara virus abolished in 1993 in ICTV, but used in papers","","","","Virus","RNA virus","ss+","Nidovirales","Flaviviridae",""
"Papillomavirus sp. (Procyonidae)","ABOLISHED","no","Papillomavirus was abolished in 2002 by the ICTV","","","","Virus","DNA virus","ds",NA,"Papillomaviridae",""
"Adenovirus SA-7","ABOLISHED","no","name abolished, synonym uncertain","","","","Virus","DNA virus","ds",NA,"Adenoviridae",""
"Adenovirus SV-15","ABOLISHED","no","name abolished, synonym uncertain","","","","Virus","DNA virus","ds",NA,"Adenoviridae",""
"Adenovirus V-340","ABOLISHED","no","name abolished, synonym uncertain","","","","Virus","DNA virus","ds",NA,"Adenoviridae",""
"Adenovirus SV-20","ABOLISHED","no","name abolished, synonym uncertain","","","","Virus","DNA virus","ds",NA,"Adenoviridae",""
"Adenovirus SV-32","ABOLISHED","no","name abolished, synonym uncertain","","","","Virus","DNA virus","ds",NA,"Adenoviridae",""
"Adenovirus SV-33","ABOLISHED","no","name abolished, synonym uncertain","","","","Virus","DNA virus","ds",NA,"Adenoviridae",""
"Adenovirus SV-23","ABOLISHED","no","name abolished, synonym uncertain","","","","Virus","DNA virus","ds",NA,"Adenoviridae",""
"Papillomavirus","ABOLISHED","no","Papillomavirus was abolished in 2002 by the ICTV","","","","Virus","DNA virus","ds",NA,"Papillomaviridae",""
"Papillomavirus sp. (Felidae)","ABOLISHED","no","Papillomavirus was abolished in 2002 by the ICTV","","","","Virus","DNA virus","ds",NA,"Papillomaviridae",""
"Acanthocephalus anguillae","Acanthocephalus anguillae","yes","valid name in NCBI","","NCBI 185726","","Helminth","Acanthocephala","Palaeacanthocephala","Echinorhynchida","Echinorhynchidae",""
"Acanthocephalus ranae","Acanthocephalus ranae","yes","valid name in papers","","Schrank 1788","Schrank, F. v. P.: Verzeichnis der bisher hinl‰nglich bekannten Eingeweidew¸rmer, nebst einer Abhandlung ¸ber ihre Anverwandtschaften, 116 S. M¸nchen 1788.","Helminth","Acanthocephala","Palaeacanthocephala","Echinorhynchida","Echinorhynchidae",""
"Acanthocheilonema dracunculoides","Acanthocheilonema dracunculoides","yes","valid name in NCBI","","NCBI 328821","","Helminth","Nematoda","Secernentea","Spirurida","Onchocercidae",""
"Dipetalonema odendhali","Acanthocheilonema odendhali","yes","valid name in NCBI","","NCBI 1346854","","Helminth","Nematoda","Secernentea","Spirurida","Onchocercidae",""
"Dipetalonema procyonis","Acanthocheilonema procyonis","yes","valid name in GBIF, Acanthocheilonema was a subgneus in some notations","","GBIF ID 7029663","Smith, J. (1980). Redescription of Dipetalonema (Acanthocheilonema) procyonis Price 1955 (Nematoda: Filarioidea) from the Raccoon.†The Journal of Parasitology,†66(2), 333-336. doi:1. Retrieved from http://www.jstor.org/stable/3280828","Helminth","Nematoda","Secernentea","Spirurida","Onchocercidae",""
"Acanthocheilonema procyonis","Acanthocheilonema procyonis","yes","valid name in GBIF, Acanthocheilonema was a subgneus in some notations","","GBIF ID 7029663","Smith, J. (1980). Redescription of Dipetalonema (Acanthocheilonema) procyonis Price 1955 (Nematoda: Filarioidea) from the Raccoon.†The Journal of Parasitology,†66(2), 333-336. doi:1. Retrieved from http://www.jstor.org/stable/3280828","Helminth","Nematoda","Secernentea","Spirurida","Onchocercidae",""
"Acanthocheilonema reconditum","Acanthocheilonema reconditum","yes","valid name in NCBI","","NCBI 114234","","Helminth","Nematoda","Secernentea","Spirurida","Onchocercidae",""
"Acanthocheilonema spirocauda","Acanthocheilonema spirocauda","yes","valid name in NCBI","","NCBI 1285935","","Helminth","Nematoda","Secernentea","Spirurida","Onchocercidae",""
