ParasiteCorrectedName,close,nonclose,vector,intermediate,ParasiteTraitsCitation
Acanthocephalus anguillae,0,0,0,1,
Acanthocephalus ranae,0,0,0,1,
Acanthocheilonema dracunculoides,0,0,0,1,
Acanthocheilonema odendhali,0,0,1,1,
Acanthocheilonema procyonis,0,0,1,1,
Acanthocheilonema reconditum,0,0,0,1,
Acanthocheilonema spirocauda,0,0,1,1,
Acinetobacter antiviralis,1,1,0,0,Boughari et al. Microbes and Environments. 2011.
Acinetobacter baumannii,1,1,0,0,"OECD (2010), Safety Assessment of Transgenic Organisms: OECD Consensus Documents: Volume 4, OECD Publishing"
Acinetobacter calcoaceticus,1,1,0,0,"OECD (2010), Safety Assessment of Transgenic Organisms: OECD Consensus Documents: Volume 4, OECD Publishing"
Acinetobacter lwoffii,1,1,0,0,"OECD (2010), Safety Assessment of Transgenic Organisms: OECD Consensus Documents: Volume 4, OECD Publishing;;Guerra  et. al. Veterinary Microbiology. 2014."
Actinobacillus actinomycetemcomitans,1,0,0,0,
Actinobacillus equuli,1,0,0,0,"Thompson AB, Postey RC, Snider T, Pasma T. Actinobacillus equuli as a primary pathogen in breeding sows and piglets. The Canadian Veterinary Journal. 2010;51(11):1223-1225."
Aelurostrongylus abstrusus,0,0,0,1,
Aelurostrongylus falciformis,0,0,0,1,
Aelurostrongylus pridhami,0,0,0,1,
Aerococcus viridans,1,1,0,0,
Aeromonas hydrophila,0,1,1,0,"Esteve C, Alcaide E, Blasco MD. Aeromonas hydrophila subsp. dhakensisIsolated from Feces, Water and Fish in Mediterranean Spain. Microbes and Environments. 2012;27(4):367-373. ;Esteve C, Alcaide E, Blasco MD. Aeromonas hydrophila subsp. dhakensisIsolated from Feces, Water and Fish in Mediterranean Spain. Microbes and Environments. 2012;27(4):367-373. "
Agriostomum cursoni,0,1,0,0,
Agriostomum equidentatum,0,1,0,0,
Agriostomum gorgonis,0,1,0,0,
Agrobacterium tumefaciens,1,1,0,0,de Oliveira et al. Genetic Transformation and Hybridzation. 2009
Alaria alata,0,1,0,1,
Alaria americana,0,1,0,1,
Alaria arisaemoides,0,1,0,1,
Alaria canis,0,1,0,1,
Alaria marcianae,0,1,0,1,
Alaria mustelae,0,1,0,1,
Alaria taxideae,0,1,0,1,
Alouattalges corbeti,1,0,0,0,
Alouattamyia baeri,0,1,0,0,
