State,Site.ID,Latitude,Longitude,Region,Year,Number.infected,Total.samples,Prevalence,Impervious.Surf_1km,Impervious.Surf_2.5km,open_1km,low_1km,med_1km,high_1km,open_2.5km,low_2.5km,med_2.5km,high_2.5km
TX,97,30.09245,-95.40411,SouthernUS,2011-2012,4,22,0.181818182,8.685370741,23.74814407,0.10936158,0.065273404,0.103063269,0.001717721,0.145174594,0.186509028,0.243240766,0.015122354
TX,100,30.15927,-97.85035,SouthernUS,2011-2012,9,9,1,25.44088176,18.25927963,0.22702548,0.256799313,0.247638133,0.003721729,0.260379434,0.157226652,0.171799102,0.009440015
GA,102,31.95631,-81.02475,SouthernUS,2011-2012,10,36,0.277777778,1.155740052,0.961598387,0.181792156,0,0.008874893,0,0.13729264,0.003299423,0.003391073,0.000366603
TX,104,29.74324,-95.61152,SouthernUS,2011-2012,3,20,0.15,55.4139708,56.4190725,0.131405668,0.139421701,0.520183224,0.178356713,0.109293374,0.170470168,0.514022546,0.182247273
LA,105,29.9891243,-90.1083984,SouthernUS,2011-2012,7,7,1,48.59547667,43.95875722,0.020612654,0.596335528,0.275694246,0.107357572,0.087205572,0.572312345,0.229447347,0.0912382
FL,107,28.03917,-81.88948,SouthernUS,2011-2012,4,9,0.444444444,12.18408245,14.74635689,0.280274835,0.112797023,0.088748926,0.020612654,0.23655027,0.15617267,0.100128311,0.023554211
FL,109,28.56717,-81.39442,SouthernUS,2011-2012,10,11,0.909090909,24.40022903,30.17679406,0.383624392,0.359862582,0.087603779,0.047237332,0.260883512,0.247456695,0.168453854,0.104710842
TX,110,29.68098,-95.43361,SouthernUS,2011-2012,10,27,0.37037037,61.64586315,56.7921822,0.062410535,0.221299742,0.434010879,0.282278843,0.056960865,0.220694712,0.376775731,0.271148382
SC,111,32.77824,-79.80677,SouthernUS,2011-2012,7,11,0.636363636,6.223876324,4.131243699,0,0.116518752,0.025193244,0.003435442,0.012327009,0.075107689,0.018788379,0.003024471
TX,112,29.44207,-98.48187,SouthernUS,2011-2012,2,23,0.086956522,62.24878328,56.31536981,0.131978242,0.160893215,0.316919553,0.390208989,0.164329576,0.219778205,0.274310329,0.330354688
FL,116,28.06421,-81.77907,SouthernUS,2011-2012,30,30,1,40.03063269,24.20286866,0.210707129,0.383051818,0.201545949,0.135699971,0.190954083,0.235679589,0.117312804,0.081202456
TX,120,29.49902,-95.09193,SouthernUS,2011-2012,5,12,0.416666667,36.56971085,30.20987994,0.199828228,0.27168623,0.316633267,0.060406527,0.256530107,0.228301714,0.222115296,0.071945743
LA,121,29.98316,-90.24032,SouthernUS,2011-2012,16,16,1,44.81305468,41.21537898,0.016604638,0.723446894,0.159461781,0.100486688,0.026441206,0.577215654,0.123774173,0.136376134
TX,123,29.33262,-94.9556,SouthernUS,2011-2012,8,28,0.285714286,8.090466648,10.11437998,0.055539651,0.101918122,0.058975093,0.009447466,0.056960865,0.079002841,0.088213729,0.016772065
TX,124,29.27255,-94.85131,SouthernUS,2011-2012,8,16,0.5,41.07386201,32.77229402,0.119954194,0.15774406,0.346693387,0.137131406,0.150673632,0.135459628,0.246998442,0.125378059
TX,125,29.57109,-95.03111,SouthernUS,2011-2012,56,102,0.549019608,46.45405096,28.88571167,0.134554824,0.24706556,0.408531348,0.116518752,0.120703877,0.205526533,0.237054349,0.066034277
FL,126,30.4564,-86.56156,SouthernUS,2011-2012,1,8,0.125,16.10878901,18.42026395,0.136272545,0.206699113,0.128829087,0.004294303,0.139996334,0.320502245,0.092292182,0.008202731
TX,100,30.15927,-97.85035,SouthernUS,2012-2013,0,13,0,25.44088176,18.25927963,0.22702548,0.256799313,0.247638133,0.003721729,0.260379434,0.157226652,0.171799102,0.009440015
GA,102,31.95631,-81.02475,SouthernUS,2012-2013,8,31,0.258064516,1.155740052,0.961598387,0.181792156,0,0.008874893,0,0.13729264,0.003299423,0.003391073,0.000366603
TX,104,29.74324,-95.61152,SouthernUS,2012-2013,7,9,0.777777778,55.4139708,56.4190725,0.131405668,0.139421701,0.520183224,0.178356713,0.109293374,0.170470168,0.514022546,0.182247273
FL,107,28.03917,-81.88948,SouthernUS,2012-2013,9,10,0.9,12.18408245,14.74635689,0.280274835,0.112797023,0.088748926,0.020612654,0.23655027,0.15617267,0.100128311,0.023554211
FL,108,30.7258,-85.9378,SouthernUS,2012-2013,9,10,0.9,3.622101346,1.539134818,0.157171486,0.052390495,0.013741769,0,0.076757401,0.021721199,0.005819815,0
TX,110,29.68098,-95.43361,SouthernUS,2012-2013,31,35,0.885714286,61.64586315,56.7921822,0.062410535,0.221299742,0.434010879,0.282278843,0.056960865,0.220694712,0.376775731,0.271148382
FL,115,28.65788,-81.44616,SouthernUS,2012-2013,12,13,0.923076923,19.99427426,22.15136101,0.23246493,0.360148869,0.092756942,0.001717721,0.308541839,0.307991935,0.12116213,0.025341399
TX,118,29.7402172,-95.4282913,SouthernUS,2012-2013,5,5,1,64.07872889,58.49147649,0.040652734,0.240767249,0.389922703,0.328657315,0.06864632,0.221473742,0.370864265,0.28544588
FL,119,28.62825,-81.35287,SouthernUS,2012-2013,8,8,1,12.58288005,17.18078086,0.251932436,0.239335814,0.030632694,0.012882909,0.256255155,0.271194208,0.068096416,0.023004308
TX,124,29.2725503,-94.8513148,SouthernUS,2012-2013,2,5,0.4,41.07386201,32.77229402,0.119954194,0.15774406,0.346693387,0.137131406,0.150673632,0.135459628,0.246998442,0.125378059
TX,125,29.56404,-95.02448,SouthernUS,2012-2013,46,109,0.422018349,46.45405096,28.88571167,0.134554824,0.24706556,0.408531348,0.116518752,0.120703877,0.205526533,0.237054349,0.066034277
WI,9,45.59274,-89.42572,NorthernUS,2011-2012,1,8,0.125,0.416261094,0.712766932,0.056112224,0,0,0,0.053065714,0.008065255,0.001191458,0.000229127
MN,10,45.26853,-92.97276,NorthernUS,2011-2012,12,78,0.153846154,23.35098769,17.64320411,0.234182651,0.245920412,0.142570856,0.043801889,0.157501604,0.176060856,0.096233159,0.047658326
PA,11,40.26472,-74.95581,NorthernUS,2011-2012,7,34,0.205882353,16.65502433,6.112134543,0.20784426,0.367019754,0.040939021,0,0.164100449,0.119099991,0.01613051,0.000366603
NC,15,35.99527,-78.89601,NorthernUS,2011-2012,1,11,0.090909091,56.05697109,33.34405646,0.081591755,0.315201832,0.414543372,0.18866304,0.358766383,0.363944643,0.196223994,0.063009807
VA,20,37.10511,-80.68673,NorthernUS,2011-2012,0,8,0,26.7646722,14.22825589,0.190094475,0.332665331,0.144574864,0.057543659,0.170103565,0.171386674,0.071029237,0.028365869
MN,21,47.49091,-92.46304,NorthernUS,2011-2012,5,47,0.106382979,15.34383052,3.677893869,0.113083309,0.146006298,0.115087317,0.026338391,0.034094034,0.033360829,0.025662176,0.008615159
NC,22,36.06536,-79.84048,NorthernUS,2011-2012,1,12,0.083333333,40.0260521,39.6757859,0.285427999,0.38648726,0.182078443,0.143429717,0.278068005,0.389881771,0.183622033,0.141004491
IN,25,38.75945,-87.41498,NorthernUS,2011-2012,1,21,0.047619048,2.985113083,0.893043717,0.15316347,0.036358431,0.009733753,0,0.062414078,0.010310696,0.001558061,0
MN,26,44.05695,-92.43479,NorthernUS,2011-2012,0,30,0,16.8496994,15.20900926,0.167191526,0.122244489,0.198110507,0.004294303,0.180047658,0.172944735,0.105214921,0.017871872
OH,28,41.5713,-81.43337,NorthernUS,2011-2012,34,54,0.62962963,5.142284569,11.85262579,0.164328657,0.093615803,0.008016032,0.000572574,0.273989552,0.181880671,0.038584914,0.010768949
NJ,29,39.86113,-74.79712,NorthernUS,2011-2012,6,41,0.146341463,6.348411108,5.047979104,0.399083882,0.078728886,0.019467506,0.002004008,0.214966548,0.053844744,0.024424892,0.003757676
